Router Name,ACL ID,Action,Protocol,Source,Destination,Extra,Interface (In/Out)
bbrb,64,permit,,171.64.0.0,any,,
bbrb,65,permit,,171.65.0.0,any,,
bbrb,66,permit,,171.66.96.0,any,,
bbrb,70,permit,,171.67.248.0,any,,
bbrb,70,permit,,171.67.250.0,any,,
bbrb,70,permit,,172.27.250.0,any,,
bbrb,70,permit,,172.27.248.0,any,,
bbrb,70,permit,,171.64.0.87,any,,
bbrb,71,permit,,171.64.0.0/0.3.255.255,any,,
bbrb,88,permit,,any,any,,
bbrb,89,permit,,0.0.0.0,any,,
bbrb,90,permit,,0.0.0.0,any,,
bbrb,91,permit,,any,any,,
bbrb,97,deny,,172.16.0.0/0.0.255.255,any,,
bbrb,97,permit,,any,any,,
bbrb,99,deny,,any,any,,
gozb,88,permit,,any,any,,
gozb,100,permit,ip,172.17.0.0 0.0.255.255,172.27.16.32 0.0.0.31,,"Vlan730 (out), Vlan760 (in)"
gozb,100,deny,ip,172.17.0.0 0.0.255.255,any,,"Vlan730 (out), Vlan760 (in)"
gozb,100,permit,ip,any,any,,"Vlan730 (out), Vlan760 (in)"
gozb,102,permit,ip,172.26.6.66,any,,
gozb,102,permit,ip,171.64.7.128 0.0.0.63,any,,
gozb,102,deny,tcp,any,any,eq 445,
gozb,102,permit,tcp,any,any,gt 139,
gozb,102,deny,tcp,any,any,gt 134,
gozb,102,permit,tcp,any,any,,
gozb,102,deny,udp,any,any,eq 445,
gozb,102,permit,udp,any,any,gt netbios-ss,
gozb,102,deny,udp,any,any,gt 134,
gozb,102,permit,ip,any,any,,
gozb,157,deny,ip,200.87.13.14,any,,Vlan570 (out)
gozb,157,deny,ip,202.181.206.18,any,,Vlan570 (out)
gozb,157,deny,ip,221.132.67.163,any,,Vlan570 (out)
gozb,157,deny,ip,210.132.185.87,any,,Vlan570 (out)
gozb,157,deny,ip,217.78.63.15,any,,Vlan570 (out)
gozb,157,permit,ip,any,any,,Vlan570 (out)
gozb,158,permit,tcp,any,171.67.5.242,eq 1433,
gozb,158,deny,tcp,any,any,eq 1433,
gozb,158,deny,ip,171.64.157.100,any,,
gozb,158,permit,ip,171.64.157.48,208.29.145.0 0.0.0.255,,
gozb,158,deny,ip,171.64.157.48,any,,
gozb,158,permit,ip,any,any,,
gozb,160,deny,tcp,any,any,eq 1433,
gozb,160,permit,ip,any,any,,
gozb,166,deny,ip,171.66.236.91,any,,
gozb,166,permit,ip,any,any,,
gozb,198,deny,tcp,any,any,eq 445,
gozb,198,permit,tcp,any,any,gt 139,
