Router Name,ACL ID,Action,Protocol,Source,Destination,Extra,Interface (In/Out)
sozb,120,permit,ip,172.19.60.0 0.0.3.255,172.27.143.160 0.0.0.31,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,171.64.10.190,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,171.64.11.94,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,171.64.11.97,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,171.64.11.106,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,171.64.11.133,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,171.64.11.202,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,10.64.10.100,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,permit,ip,172.19.60.0 0.0.3.255,171.67.43.194,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,120,deny,ip,172.19.60.0 0.0.3.255,any,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
